response,context_0,speaker_0,context_1,speaker_1,context_2,speaker_2,context_3,speaker_3,context_4,speaker_4,context_5,speaker_5,context_6,speaker_6
"Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze.","Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?",Principal Vagina,"Ahem, Horse heart surgeon.",Jerry,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?",Beth,"Well, maybe you're right.",Jerry,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend.",Beth,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies.",Jerry,"It's fine, Davin.",Beth
Are you sure there's not just a picnic nearby.,I sense... insecurity.,Million Ants,"So, this is... Vindicators 3? And you guys did Vindicators 2... w-without us?",Morty,"Actually, we assembled a second time last summer to fight Doomnomitron.",Supernova,"You mean ""two for two"", right, Vance?",Morty,Did he say he never forgets a kid?,Rick,"Did he say ""three for three""?",Morty,"I never forget a kid.  What do you say, Vindicators? Let's make this three for three?",Vance
"Doesn't feel so good, does it?",I'm gonna pee my pants.,Beth,"Are you guys Power Rangers? But only on one small part of your necks? Hey, do those things need batteries? Were they included? Clean up in the fruit isle! Not in a homophobic way though, they're just fruity necklaces is all I was saying.",Jerry,"Um, hold the phone, where did you guys get those necklaces from? Uh, Lady Gaga, table for three, am I right?",Jerry,"Hey guys, we're home.Morty & Summer",Beth,"Shut up, Morty. The last time you felt something, we all almost died. You little s—piece of shit.",Rick,"But I feel like one of the sixty-four Ricks like, sacrificed himself for me, maybe, I think.",Morty,Yeah.,Rick
Ohhhh!,"Nothing but fear from here on out, bitch!",Scary Terry,"Oh, geez, Rick. W-w-whoa, this isn't good.",Morty,"Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Rick,Huh?,Morty,The little girl!,Rick,"Oh, man, oh, man, oh, man!",Morty,"Holy crap! We have to escape into someone else's dreams, Morty!",Rick
"Rick says ""good"" and ""bad"" are artificial constructs.","Cop a squat, chief.  Everyone in the universe is a hero. All you have to do is know the difference between good and bad, and root for good.",Vance,I-I-I... I'm not a superhero.,Morty,You should be.  Running around in a yellow t-shirt like you're not one of us? Disgraceful.,Vance,I-I totally get it. I-I'm so sorry.,Morty,"Morty, the Vindicators and I had a chat this morning and I'm afraid we need to make a little change.",Vance,"Vindicators, prepare for arrival.",Supernova,"Actually, Noob-Noob, you have a new mission.",Supernova
Fine I'll just do it myself.,"Okay, well we're still not gonna let you out of this crate.",All Summers,"Hey Rick, it's Rick. Listen, I'm sorry about earlier. No hard feelings. I know you know I mean it too. Take it easy. Whoa. Damn, look at this, I'm blown up. Three new voicemails.  Yeah yeah, I heard this one.  You get the idea  we're cool now.",All Ricks,"Don't fall for it, it's a bit.",All Ricks,"Calling myself. Here, listen,  it'll probably go to voice mail since, you know, I'm calling myself.",All Ricks,W-what're you doing?,All Mortys,"Ah, for God's sake, alright here, give me the time crystal.",All Ricks,Well is there some way you can prove you're not a threat to yourself and others anymore?,All Summers
"Obviously? You came here and defeated our arch-nemesis while so drunk, you don't remember doing it? That's something obvious to you?","Obviously, I came here last night during a blackout.",Rick,"Rick? What's going on, buddy?",Vance,"If you guys are watching this, you're, you know, the Vindicators. So now that we know...",Drunk Rick,"Welp, it's official. I had too much to drink last night.",Rick,"Check, check, One, two. Okay, is it recording? Good. Hello, Vindicators. Welcome to your reckoning, babyyyyyyyy!!",Drunk Rick,I sense the presence of a greater evil.,Million Ants,Shit.,Rick
"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Yeah.,Jerry,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,Summer,"Ahhh, shit.",Morty,"Ah, shit.",President,"Ahhhh, shit!",Rick,Nooooo!,Rick,I’m going to go find Mom and Dad.,Morty
"Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard.",I do?,Morty,"Oh, for crying out—he's got some kind of disability or something. Is that what you want us to say?",Jerry,I-I-I don't know what you mean by that. Can can can you be a little bit more specific?,Rick,"Oh, don't high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes.",Beth,What are you trying to say about Morty? That he's stupid or something?,Rick,"Morty, stay out of this. You are obviously not capable of judging these situations on your own.",Jerry,"Dad, mom, come on. Rick just needed my help is all.",Morty
"For God’s sake, Nathan, the man turns people into snakes. He can use Google Maps.",How do you know about that?,Nathan,You’re gonna wanna put them on that giant speaker system at your sonic testing facility at Area 51.,Rick,"All right, all right. Thank you, Mr. Sanchez. Change of plan, people. Get me Pharrell, Randy Newman, Billy Corgan, and The-Dream.  The-Dream? He wrote “Umbrella” and “Single Ladies”? You people haven’t heard of The-Dream?",President,"No, Frasier. A live performance of a newly-written, catchy, original song. The Cromulon feed on the talent and showmanship of less-evolved lifeforms.",Rick,"I’ve seen enough of the galaxy to know that what we’ve got here is a Cromulon from the Cygnus-5 Expanse. So you can forget about nukes, and you can forget about math.  This head won’t go away until  Earth shows them it’s got a hit song.",Rick,Hey.,Morty,My name is Rick Sanchez. This here’s my grandson Morty.,Rick
"Oh, geez, Rick, that's not good. W-what are we gonna do? I-I have to be back at school right now. How are we gonna get back home?","It's as good as garbage, Morty. It's not gonna work anymore, Morty.",Rick,What?!,Morty,"There's just one problem, Morty one little hang-up. The dimension I visited was so advanced, that  they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty.  It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they-they-they— they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device it's got no charge left, Morty. It's got no charge left.",Rick,"Wow, that's pretty crazy, Rick.",Morty,"Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore.  The stuff was all over the place, Morty.",Rick,"Sure thing, Rick.",Morty,"Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?",Rick
"Oh, he did not!",And she's saying what's important is that Grandpa lied to you to get out of coming here.,Summer,"I didn't say my father is perfect, I said his work is important.",Beth,Wow. Ugh.,Pickle Rick,"Okay, let's open things up to the whole family, and let me ask this. Why do we think Grandpa turned himself into a pickle?",Dr. Wong,"Oh, Jesus Christ, one of these. No, my father has never turned himself into a pickle before. He's unpredictable and eccentric. The whole family is. Speaking of which...",Beth,The kind that wasn't designed to attack or hurt you in any way.,Dr. Wong,"What? No, what kind of question is that?",Beth
Szechuan?,"- Because that's -- that's what this is all about, Morty.",Rick,What are you talking about?,Morty,"- and do whatever I say, Morty, forever! And I'll -- I'll go out and I'll find some more of that ""Mulan"" Szechuan teriyaki dipping sauce, Morty. -",Rick,Oh.,Morty,"- and they'll take my side because I'm a hero, Morty. And now you're gonna have to go -",Rick,You're gonna deny it.,Morty,"- or sister I said any of this, I'll deny it -",Rick
"ooo... Watch out for that stuff. It'll stain if it gets on your clothes, and it'll send into a murderous rage if it gets in your eyes or mouth.",Woahh!,Morty,Don't worry about Jerry. He's gonna be fine.You hear me Jerry? You're gonna be fine!,Rick,I have changed. I am ready to rejoin my brethren on Alphabetrium.,Ice-T,"Magnesium-J, Hydrogen-F. Father.",Ice-T,I love this man!,President,"Trade secret, Mr. President. Particle beam in a wristwatch… snake holster on the leg.",Rick,Why didn’t he turn into a snake?,President
"Thanks, Noob-Noob! This guy gets it.","Alan Rails, ladies and gentleman. After his parents' tragic death in a railroad accident, he gained the power to summon ghiost trains. It's not all bad, though. They were spared having to see their grown son wear a whistle!",Rick,I wish he had the ability to check is attitude.,Alan,"Well, let me check my list of powers and weaknesses. Ability to do anything... But only whenever I want... Yeah, that sounds like a job for me.",Rick,"Noob-Noob, we're having a briefing!  If I can continue, Rick. I anticipate sophisticated security measures. I trust you can be of service there.",Supernova,"So, you're origin is what? Y-You fell into a vat of redundancy?",Rick,"Right, Crocubot. So, you're half-cold, unfeeling reptile, half-also cold, equally-unfeeling machine.",Rick,"Uh, yeah, just a few more design notes.  Um, this guy. The, uh... The, uh...",Rick
"Man, Grandpa Rick must have gotten shitfaced.","Everyone in the universe is a hero, Mom. Which is why we don't need jackets.  And I'm pretty sure we don't need Vindicators.",Morty,"Morty, you're wearing a Vindicator jacket. Are you a little superhero now?",Beth,"Morty, twenty people try to kill me every week. I end up getting high with half of 'em. I mean, check it out, Gear Head's here.",Rick,But.. she was trying to kill us!,Morty,"Ah, who cares?",Rick,"Rick, Supernova's getting away!",Morty,"Look at that. Geez, I must've planned a whole party. Invited a bunch of people. Not bad, Drunk Rick, not bad.",Rick
"Huh? Uh, no. No, nope, sorry about that. Nope, just me. Yeesh!","Oh, well, uh, she knows. I mean, we don't really buy into that kind of crap, to the extent that love is an expression of familiarity over time, my access to infinite timelines precludes the necessity of attachment. In fact, I even abandoned one of my infinite daughters in an alternate version of earth that was taken over by mutants.",Pickle Rick,"Well, my daughter is about five away, and I've got about eight to live.",Pickle Rick,"Farewell, Solen'ya.",Agency Director,Tell them we were robbed.,Agency Director,Is the helicopter here?,Agency Director,I don't think so. See you soon.,Pickle Rick,Jaguar was an animal. You're an intelligent pickle. We can do business.,Agency Director
Isn't there a kitten somewhere that needs a manicure?,Hmm...,Vet,Ututututut! You'd better keep back! Man this will turn your ass into a third trimester fetus from 30 yards.,Testicle Monster A,"I would have been happy to pay for it, Summer, but they don't exactly sell them at Costco. Besides, there's a larger lesson to be learned here. Get him!",Rick,You stole a time freezing crystal from testical monsters?,Summer,"Yeah, well I don't know where you expect me to think you got that crystal over there, but the only way you dumb ass, assin' ass asses could ever have one, is if it was stolen.",Testicle Monster A,Time prison?,Summer,"Well since you're goin' to time prison, I'd say you can keep em on forever.",Testicle Monster A
"Not an issue, sweetie.",I hate you!,Summer,"Because it's incentive for you to give me my cleanest shot, which will be your least painful death. But if you want to die slower than that, I'm super into it. All you got to do to get that started is kill the girl.",Rick,Because you love her!,Riq IV,"Or let her go, which I will reward with a quicker death.",Rick,What the fuck?,Summer,"20 yards, nine-gauge plasma pistol, My first shot would liquify her insides and injure you, second shot adds recoil. The risk to me is minimized if I wait for you to shoot her, which I'm encouraging you to do.",Rick,Why not shoot through her?,Riq IV
"A Rick partner? Lesson one, rookie","Oh! S-sorry, I was expecting--",Cop Rick,You don’t pay me to have faith! And we’re the same age!,Campaign Manager Morty,"Maybe you should find a little faith, young man.",Candidate Morty,"You shouldn’t, sir. You should be terrified.",Campaign Manager Morty,I feel pretty confident about tonight’s debate.,Candidate Morty,"We had a good run, sir, but I think it’s time to pull out of the race.",Campaign Manager Morty,And the chemical that makes his brain secrete goes into every Simple Rick’s Simple Wafer Cookie.  Come home to the impossible flavor of your own completion. Come home to Simple Rick’s.,Narrator
"Oh boy. Time to go, Morty.","What? I do, I squanch my family.",Beth,"Oh, okay... I squanch my family.",Beth,"Beth, Squanchy culture is more... contextual than literal. You just say what's in your squanch and people understand.",Rick,"Ughhhh... belchflies towards front doorTurning back around and re-entering dining roomScoffsHovers over Jerry and fully shoves him into underside before flying away through open front door and into skyRuns to front doorFollow BethLooking into skyStill eating cerealUnscrewing and drinking from scotch flaskMorty waveskissing Beth's handHolding a suit in a dry cleaning bag* Your language has 'squanch,' in it a lot. Doesn't that become tedious and worn out like the Smurf thing?",Rick,"Gross, what is that thing?",Summer,"Uh, w-why don't you get it Jerry? you're the man of the house and you don't have a job.",Rick,"Jerry, get a job.",Beth
And Jessica's gonna be Eve.,Ohh...,Morty,"When I drop the bomb you know, I want you to have somebody, you know? I want you to have the thing. I'm gonna make it like a new Adam and Eve, and you're gonna be Adam.",Rick,Jessica? From my math class?,Morty,"Come on, Morty. Just take it easy, Morty. It's gonna be good. Right now, we're gonna go pick up your little friend Jessica.",Rick,T-t-that's absolutely crazy!,Morty,"We're gonna drop it down there just get a whole fresh start, Morty. Create a whole fresh start.",Rick,What?! A bomb?!,Morty
"Crocubot, don't!","The Vindicators say their job is is to fight evil wherever it hides, but they don't... pick the location you'll... you'll never even hear them mention, because to fight darkness is to fight yourself.",Drunk Rick,"Ahh, it would've been if I hadn't.",Rick,"That's not the issue, Rick!",Morty,"Uh, I kind of am. I saved the goddamn universe.",Rick,The two of us?!  I hope you're proud of yourself!,Morty,"Let's just get through this as quickly as possible. Then, we'll deal with the two of you.",Supernova,It was a bit. All of the descriptors apply to all of you. Drunk Rick's point is that none of you are very special or different.  That's always his point.,Morty
"- without you and your sister, so now you know the real reason I rescued you. Oh! I just took over the family, Morty, and if you tell your mom -","Oh, man.",Morty,I've replaced them both as the de facto patriarch of your family and your universe. Your mom wouldn't have accepted me if I came home -,Rick,"Oh, fuck.",Morty,"He threatened to turn me in to the government, so I made him and the government go away.",Rick,"Oh, geez.",Morty,"Oh, it gets darker, Morty. Welcome to the darkest year of our adventures. First thing that's different -- no more Dad, Morty.",Rick,"Okay, take it easy, Rick. T-T-That's dark.",Morty
You better stop with that.,"Oh, jiggle it now.",Mr. Goldenfold,"No, you didn't.",Mrs. Pancakes,Make it bounce.,Mr. Goldenfold,"All right, Morty, time to make our move.",Rick,"Oh, I think you've had enough, sir.",Mrs. Pancakes,I'll take two.,Mr. Goldenfold,Wheat thins. Wheat thins.,Mrs. Pancakes
"Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!",What?! Are you kidding me?! Ohhhhhh!,Morty,"Goldenfold's got more control here than I anticipated. I mean, the guy teaches high-school math.  I didn't take him for an active dreamer. We've got to take him out so he wakes up, Morty but we can't get killed. If you get killed in someone else's dream, you die for real, Morty.",Rick,Ooohhh!,Morty,AAAAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!!!!!!!!!!!,Mr. Goldenfold,"Take cover, Morty!",Rick,The name's not buddy. It's Goldenfold. Nice to wheat you!,Mr. Goldenfold,"Hey! I said nobody move, buddy!",Rick
What the hell is wrong with you two!? I—I m—I m—I mean you four!?,Oh shit.,Rick,"Whoa, ow, ow.",Morty 2,"Ow, ow ouch!",Summer 1,"Huh, what do you know, it's working",Rick,"Whatever you're asking, the answer is I'm amazing. And away we go!",All Ricks,"Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time.",All Ricks,We “isn't”,All Ricks
"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.",What?!,Morty,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?",Rick,"That’s planning for failure, Morty. Even dumber than regular planning.  Balls.",Rick,"Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?",Morty,"Genius happens in the moment, Morty.",Rick,"Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!",Morty,"Geez, Morty. The guy’s just doing his job. Take it easy.",Rick
"Rick, why did you lie to your daughter?",Yes.,Pickle Rick,By changing you from a pickle to a human.,Dr. Wong,"It's a serum that I need to, uh, to stay alive. I have had a rough day. And, uh, I've sustained a lot of damage. I'm pretty close to death, which the serum will prevent.",Pickle Rick,Dad I would like you to tell me what's in the syringe.,Beth,"Yeah, thank you. Uh, sweetie, you don't still happen to have that syringe in your purse?",Pickle Rick,I've heard a lot about you today. Your family is crazy about you. Your daughter holds you in very high regard. You're a lucky fella.,Dr. Wong,Mm-hmm.,Pickle Rick
"Are you kidding me?! That's it, Rick! That's the last straw! I can't believe this! I'm sitting here with both of my legs broken, and you're still asking me about getting those seeds?! Ooh! Ow! Oh! Y-y-you're a monster. Y-you're like Hitler, but-but even Hitler cared about Germany or something.","Yeah, I can see that. But do you think you'll still be able to help me collect my seeds, Morty?",Rick,"I'm in a lot of pain, Rick!",Morty,"Morty, oh, you really d-did a number on  your legs right now. You know, you got to turn  the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze.",Rick,"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?",Principal Vagina,"Ahem, Horse heart surgeon.",Jerry,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?",Beth,"Well, maybe you're right.",Jerry
"What?! No, I'm not right. I-I was using ghoulish overkill! Ghoulish overkill, Summer!",You're right!,Summer,"He bails on everybody! He bailed on Mom when she was a kid! He -- He bailed on tiny planet! And in case I never made this clear to you, Summer, he bailed on you. He left you to rot in a world that he ruined because he doesn't care! Because nobody's special to him, Summer, not even himself. So, if you really want your grandpa back, grab a shovel. The one that won't let you down is buried in your backyard!",Morty,"Because you suck! You've been keeping your lip zipped about it since Grandpa got arrested, but the fact is, you're freaking stoked to bail on him.",Summer,"Hey, I like being 35. I-I can rent a car now.",Morty,"We're miserable, Morty! There's a mandatory curfew, their weird calendar made me 47, and they weaponized the Eiffel Tower!",Summer,"Summer, you're freaking me out. I know things have changed a lot, and I know you miss Rick, but getting him back wouldn't make things better. And, you know, we're not doing so bad.",Morty,"Grandpa Rick must have some secret lab, right? With, like, laser guns and jets packs and a space tank! And we can go break him out of prison! Look at these dead flies! Maybe if we arrange them in a certain order, it plays a hologram or it opens a secret door.",Summer
"No, thanks!","I'm sorry. No, no.",Morty,"Ooh, oh! Oh, man.",Morty,"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.",Rick,"Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.",Morty,"Don't judge, Morty.",Rick,"Oh, man, Rick, this is pretty weird.",Morty,"All right, let's go.",Rick
Is it important that we know who Jan-Michael Vincent is in order to get this?,Jan-Michael Vincent's are used up.,Announcer,"Oh man, I'm trying to remember Morty.",Rick,"Rick, who-who is Jan-Michael Vincent?",Morty,And sixteen quadrants. There's only enough time for a Jan-Michael Vincent to make it to a quadrant. He can't be in two quadrants at once.,Announcer,"In a world, where there are eight Jan-Michael Vincent's.",Announcer,Just stay away from the coffee machine.,Rick,Is that something we should be concerned about?,Beth
"Oh, I-I'm sorry to hear that, sweetie. I hope I had nothing to do with that.",Jerry's going to spend some time divorced.,Beth,"What the fuck? Not cool, Jerry! A man's garage is his castle.",Rick,"Seems like you guys need some privacy. I'll, uh -- I'll be in the garage.",Rick,"Beth, it's him or me!",Jerry,"No, you're right. Where's the vodka?",Rick,"Um..okay. No. No, no, no. Foot down time.",Jerry,"Jerry, is there any light beer left? It's insane what you miss in prison.",Rick
"Father, can we please go to the Ascension?",Dinner sounds nice.,Beth,I love you guys. You gave me life. And it’s the will of the many heads that all children honor their parents.,Summer,"Yeah, sure. Wait, what??",Beth,"Here’s yours!  Mom, do you mind if I cook dinner tonight?",Summer,Whoa! Look at you! You’re wearing the hat and everything!,Jerry,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",Jerry,We should pack up and leave town now.,Beth
Five…,"Very amusing, Mr. Smith. Almost as amusing as when your first Rick was decapitated on Zorpathion 9.  Or was that your third Rick? How many Ricks have you had?",Teacher Rick,Farty!,Slick,"""I love being your new Morty.""",Teacher Rick,"""This is a great adventure.""",Teacher Rick,"""Good idea, Rick.""",Teacher Rick,Unit 7 responding.,Cop Morty,Fifth and ? That’s Mortytown.,Cop Rick
"Shut up, Jerry.","She’s allowed to think it’s God if she wants, honey!",Jerry,"It’s not God, Summer.",Beth,"Is it God? If it’s God, do we get out of school?",Summer,"The Pentagon. I mean, not THE Pentagon.  The lame one, here on Earth.",Rick,"Uhh, where?",Morty,"Oh boy. Time to go, Morty.",Rick,"What? I do, I squanch my family.",Beth
"Gentlemen, gentlemen, one at a time! Simon?","Ma’am, a giant head in the sky is controlling the weather. Did you wanna play checkers? Let’s be rational! I’ll see you at God’s house!",Mr. Goldenfold,How is praying going to help?,Beth,"Scary stuff, huh? Pretty freaky. Hi, I’m Morty’s math teacher. I’m also part of the street team inviting folks to the church downtown so we can pray together.",Mr. Goldenfold,Morty and I are going to look into it. You guys hold tight.,Rick,"Dad, what do you know about this?",Beth,Ok…,Jerry,"Shut up, Jerry.",Beth
"Yeah Grampa, way to go.","Oh way to go, Rick.",All Mortys,"Ay, damn it, were you tryin' to use this to- oh, see, you broke time, and you thought you could just stick it back together with this? How you think you gonna move time while you're standin in it you dumn ass three-dimensional monkey ass dummies?",Testicle Monster A,"Shut the fuck up! Oh, damn, I'm from the 4th dimension. I can hear all o' y'all. Now let's just see what we got here for a second.",Testicle Monster A,How did this happen?,Testicle Monster A,"What the fuck?! Your time is all ripped up to hell! You broke your time, twice!",Testicle Monster A,"Ey, ye ey, quit yellin' quit yellin'.",Testicle Monster A,It's a monster!,Summer 1
"You gotta be careful Morty, if that guy catches you with a box of his eye-holes he comes bursting in through a window and just starts kicking the shit outta you. But it's worth the risk, they melt in your mouth Morty! They're delicious.",Eye-holes! Get them today! IKEA.,Announcer,"Yeah me neither, we pretty much nailed it the first time.",Rick,A sequel.,Rick,"Fine!  Excuse me. Coming through. What are you here for- Just kidding, I don't care. Well this won't do.",Rick,"Go in the waiting room, Dad.",Beth,What? Every hospital claims to have the best doctor in the galaxy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest?,Rick,Is he going to die?,Summer
The heads love this! They love it when we DON’T kill the Smith family!,Morty!,Rick,The heads are displeased!,Summer,I’m sure that has… that has nothing to do with this.,Principal Vagina,"Nup-oo-nup-oo-nup-oo-nups… ooh, tough crowd.",Rick,"Mr. President, if I’ve learned one thing today, it’s that sometimes, you have to not give a fuck!",Morty,"I’m really bad at this, Morty! There are way too many buttons on this thing!",President,Hey! Look at the heads! Looks like the heads are gettin’ angry!,Mr. Goldenfold
Summer?,"Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school.",Principal Vagina,"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?",Jerry,I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?,Principal Vagina,What? Why didn't you notify us?,Beth,"The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months.",Principal Vagina,"Oh, man.",Morty,"Come on, Morty. Please, Morty. You have to do it, Morty.",Rick
I don’t know what to say. Summer is doing really well here.,I’m going to start dinner!,Summer,"Hi folks, Head Priest Vagina. Thanks for farming all those potatoes. It’s 6 p.m., so if you’re a parent, you’re now entitled to adoration from your children.",Principal Vagina,Yeah.,Jerry,And then Ethan played guitar and we learned the Seven Contemplations of the Head by singing them. It was really fun. Praise be the head!,Summer,"Ahhh, shit.",Morty,"Ah, shit.",President,"Ahhhh, shit!",Rick
"Three. Excuse me, you can't be back here.","Emergency, wounded deer coming in.",Beth,"Alright, cool it, I see what's happening here. You're both young, you're both unsure about your place in the universe, you both wanna be “Grampa's favorite.” I can fix this. Morty sit here, Summer, you sit here. Now listen, I know the two of you are very different from each other in a lot of ways, but you have to understand that as far as Grampa's concerned, you're both pieces of shit. Yeah, I can prove it mathematically. Actually, let me grab my whiteboard. This has been a long time coming anyway.",All Ricks,Me? What about you? Would you get more excited to see me fail? You want Grampa all to yourself!,Summer 1,You're always picking on me and now you got someone to kiss your ass!,Morty 2,You make fun of me all the time and now Summer's doing it too!,Morty 1,"Well you don't exactly make it easy, Rick!",All Mortys,"Good I'm glad it was painful. You do deserve it! I saw you, you're both  all over the damn place. We've been split for twenty minutes and your lives are already scattered to the quantum fucking wind? What the hell do either of you have to be so uncertain about? Your brand of zit cream? Which chair to sit in while I do everything? Come on, spit it out!",All Ricks
"Whoa, take it easy!","There's somethin' special bout you, somethin' special.",Brad,"Oh, well, no problem Brad.",Morty,"Aw man, Morty, ugh, I'm really sorry.",Brad,"LEAVE HIM ALONE, JERK!  I'M IN LOVE WITH HIM! HE'S MORE MAN THEN YOU WILL EVER BE!",Jessica,"Is this punk bothering you, Jessica?",Brad,"Oh man. I love you too, Jessica!",Morty,"I love you, Morty. I love you so much it burns!",Jessica
"Morty, Mom's talking. I'm sorry, I suppose that's a good segue into our little discipline cases here.",He turned himself into a pickle.,Morty,"He got wrapped up in an experiment. He's a scientist. Like, legit, like on an inter-galactic, sci-fi level. His work is very --",Beth,I was told there was a grandpa that might be joining us?,Dr. Wong,"Smith family, I'm Dr. Wong. Come on in.",Dr. Wong,"Uh, me, neither. Say, where did my family get off to?",Mr. Goldenfold,We... have never... eaten poop.,Summer,Me too. How long have you all been eating poop?,Mr. Goldenfold
You realize they sing no matter how much you tip.,Cold Stone Creamery is the best. What should we do with our remaining twenty dollars?,Jerry,“Mom and Dad?” Get your head out of your family's ass. The three of us are lost in a timeless oblivion. Your parents get to exist. They're probably living it up in some pointless grounded story about their shitty marriage.,All Ricks,"I assume they're Schrodinger's cats. A-actually, I assume they both are and aren't, just like us.",All Ricks,Are those cats?,All Summers,"Oh, my God!",All Mortys,"We're not on any timeline, dummy. Look.",All Ricks,But I thought there were infinite timelines.,All Mortys
"Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's.",Takes one to know one.,Rick,You're beyond our reasoning!,Jerry,You guys should really not be touching that stuff. It's beyond your reasoning.,Rick,"Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers?",Rick,"I'm an angry father, not an improviser.",Jerry,What?,Beth,"Oh, look, honey. It's our son with Albert Ein-douche.",Jerry
"Well, he is the Worldender. The guy ends worlds. Kind of his thing.",Son of a steam engine! They're all dead!,Alan,"Oh, oh, oh, I'm sorry. Oh, you're right. Ooh, real serious. Gotta take it real serious, huh?",Rick,"Just focus on the mission, all right?",Morty,"Little extra  snippy this morning, aren't you?",Rick,Get it yourself.,Morty,"Is there coffee? Hey, Morty, can you be a pal? Grandpa left his coffee maker on the ship. Y-You know, the French press thing?",Rick,"Man, fuck you.",Alan
...Motherfucker!,"...but you really stuck your neck out  when you gave me props for my awesome jokes in the briefing room. Everybody else had their heads so far up their ass. Even my own grandson is like, ""Oh, the Vindicators are so cool."" I mean, he's a moron, it's their... demographic. But you're different, Noob-Noob.",Drunk Rick,"Ugh, y-you're probably confused because we barely know each other...",Drunk Rick,"Goddammit, why am I crying? It makes no sense.",Drunk Rick,"Sorry, I'm... not good at goodbyes. It looks like I'm never gonna see you again. I can't really roll with the hero types, and I don't... th-they don't want me around. But I want... you to know, even if I didn't show it at the time, II really appreciated you sticking by me.",Drunk Rick,"Oh, shit.",Rick,"Well, Morty, I think you're making that smirky face because you're misinterpreting the moment. I am not being coy about some hidden love for you. I want to be really clear that, if anyone has a better guess, like, if I gave you an amulet last night, or...",Rick,I'll cover that bet. I get it.,Morty
"Holy crap! God damn! I know one thing for sure I'm giving Morty an ""A"" in math, and that's my idea. That is an original thought.","This is because you don't give Morty Smith good grades, bitch!",Scary Terry,Sex is sacred!,Scary Terry,"These halves don't belong together, bitch!",Scary Terry,I always hated that song!,Scary Terry,"As a matter of fact, Terry, there is something you could help us with.",Rick,"If you guys ever need anything, just say the word.",Scary Terry,"Oh, hey, it's you guys!",Scary Terry
