response,context
If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over.,"[{""text"": ""This is why I choose to get C's."", ""speaker"": ""Summer""}, {""text"": ""Psst, Beth, Jerry, Summer."", ""speaker"": ""Rick""}, {""text"": ""- Dad! - Rick!"", ""speaker"": ""Morty""}]"
"It's all over, Jerry. The dogs are on a path to total world domination. But, hey, at least they know not to piss on your carpet, right?","[{""text"": ""- Dad! - Rick!"", ""speaker"": ""Morty""}, {""text"": ""If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over."", ""speaker"": ""Rick""}, {""text"": ""Whoa, whoa, whoa. We're not going anywhere. This is my house. I'm not abandoning it."", ""speaker"": ""Jerry""}]"
"Ooh, great plan, Jerry.","[{""text"": ""It's all over, Jerry. The dogs are on a path to total world domination. But, hey, at least they know not to piss on your carpet, right?"", ""speaker"": ""Rick""}, {""text"": ""Wait a minute. I have an idea. Gentlemen, a moment of your time.  See that? I'm peeing all over your special guns. That means I own them."", ""speaker"": ""Jerry""}, {""text"": ""Bad person. Bad."", ""speaker"": ""Snuffles""}]"
"No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon.","[{""text"": ""Th-thanks, snuffles."", ""speaker"": ""Morty""}, {""text"": ""Begin phase two."", ""speaker"": ""Snuffles""}, {""text"": ""Mmm. Thank you, Fido. Rick! I thought you were dead!"", ""speaker"": ""Morty""}]"
"It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream.","[{""text"": ""Mmm. Thank you, Fido. Rick! I thought you were dead!"", ""speaker"": ""Morty""}, {""text"": ""No, no, no, I was just playing dead. Good news, though, Morty. This whole thing's gonna be over really soon."", ""speaker"": ""Rick""}, {""text"": ""What?"", ""speaker"": ""Morty""}]"
"It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie.","[{""text"": ""What?"", ""speaker"": ""Morty""}, {""text"": ""It's a dream, Morty. We're in your dog's dream. The night the dogs captured us, after you cried and crapped your pants, we all went to sleep. Then I used my dream inceptors to put the two of us inside snuffles' dream."", ""speaker"": ""Rick""}, {""text"": ""But I-it's been like a whole year!"", ""speaker"": ""Morty""}]"
"No, no, that happened before you went to sleep, Morty. You're sleeping in your crap right now. Out of all the things that happened to you, that was the only real thing that, you know, is that you crapped your pants. I mean, it's a mess out there. I got some on my hands, Morty, and then I got it on the dream inceptor, and a piece fell in my mouth.","[{""text"": ""But I-it's been like a whole year!"", ""speaker"": ""Morty""}, {""text"": ""It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like \""Inception,\"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie."", ""speaker"": ""Rick""}, {""text"": ""Aw, man. I really liked this life. Well, at least I didn't really crap my pants."", ""speaker"": ""Morty""}]"
"Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these.","[{""text"": ""Aw, man. I really liked this life. Well, at least I didn't really crap my pants."", ""speaker"": ""Morty""}, {""text"": ""No, no, that happened before you went to sleep, Morty. You're sleeping in your crap right now. Out of all the things that happened to you, that was the only real thing that, you know, is that you crapped your pants. I mean, it's a mess out there. I got some on my hands, Morty, and then I got it on the dream inceptor, and a piece fell in my mouth."", ""speaker"": ""Rick""}, {""text"": ""Aw, man, geez! Seriously?"", ""speaker"": ""Morty""}]"
Close. It's gonna make your kidneys shut down.,"[{""text"": ""Aw, man, geez! Seriously?"", ""speaker"": ""Morty""}, {""text"": ""Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these."", ""speaker"": ""Rick""}, {""text"": ""Are these pills supposed to wake me up, or something?"", ""speaker"": ""Morty""}]"
"It's necessary for the plan, Morty. Don't even trip, dawg.","[{""text"": ""Are these pills supposed to wake me up, or something?"", ""speaker"": ""Morty""}, {""text"": ""Close. It's gonna make your kidneys shut down."", ""speaker"": ""Rick""}, {""text"": ""What?!"", ""speaker"": ""Morty""}]"
"I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven.","[{""text"": ""I'm sorry. It's just like the end of \""Old Yeller."", ""speaker"": ""Jerry""}, {""text"": ""Oh, Jerry. You mean because it had dogs in it."", ""speaker"": ""Beth""}, {""text"": ""Wow! A whole world populated by intelligent dogs. I wonder what it'll be like, Rick."", ""speaker"": ""Morty""}]"
"What do you know, Morty? What do you know?","[{""text"": ""Wow! A whole world populated by intelligent dogs. I wonder what it'll be like, Rick."", ""speaker"": ""Morty""}, {""text"": ""I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven."", ""speaker"": ""Rick""}, {""text"": ""You know, that's a real comforting idea, Rick."", ""speaker"": ""Morty""}]"
"Oooh! This is how you dream, bitch.","[{""text"": ""I think it will be great, Morty. You know it could be developed in-into a very satisfying project for people of all ages. I mean, I'd watch it, Morty, for at least 11 minutes a pop. You know, may-maybe they'll do it board-driven."", ""speaker"": ""Rick""}, {""text"": ""You know, that's a real comforting idea, Rick."", ""speaker"": ""Morty""}, {""text"": ""What do you know, Morty? What do you know?"", ""speaker"": ""Rick""}]"
"I should get her pregnant, then she'll have to marry me.","[{""text"": ""Eh, Try not to worry about it, Morty. You're a good kid, and there's not a premium on that right now, but you'll be getting girls sometime after Brad's out of shape."", ""speaker"": ""Jerry""}, {""text"": ""You're missing the point, Dad. I don't want girls, I want Jessica!"", ""speaker"": ""Morty""}, {""text"": ""Ahhh, well,  I remember feeling that way about a young lady named your mom, and that's not an urban dis, your mom was my Jessica. I remember the first time I saw her, I thought..."", ""speaker"": ""Jerry""}]"
"Sorry, please proceed with your story about banging my daughter in high school.  I'm not sure you want to take romantic advice from this guy, Morty, his marriage is hanging from a thread.","[{""text"": ""Ahhh, well,  I remember feeling that way about a young lady named your mom, and that's not an urban dis, your mom was my Jessica. I remember the first time I saw her, I thought..."", ""speaker"": ""Jerry""}, {""text"": ""I should get her pregnant, then she'll have to marry me."", ""speaker"": ""Rick""}, {""text"": ""I beg your pardon, Rick, INAPPROPRIATE."", ""speaker"": ""Jerry""}]"
"Jerry, it's your house, whatever you say it is is how it is,  but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed.","[{""text"": ""I beg your pardon, Rick, INAPPROPRIATE."", ""speaker"": ""Jerry""}, {""text"": ""Sorry, please proceed with your story about banging my daughter in high school.  I'm not sure you want to take romantic advice from this guy, Morty, his marriage is hanging from a thread."", ""speaker"": ""Rick""}, {""text"": ""My marriage is fine, thank you."", ""speaker"": ""Jerry""}]"
"Listen, Morty, I hate to break it to you, but what people call ""love"" is a chemical reaction that compels animals to breed. It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage. I did it, your parents are gonna do it. Break the cycle, Morty. Rise above. Focus on science.","[{""text"": ""My marriage is fine, thank you."", ""speaker"": ""Jerry""}, {""text"": ""Jerry, it's your house, whatever you say it is is how it is,  but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed."", ""speaker"": ""Rick""}, {""text"": ""Come on, Rick, don't talk about my parents like that."", ""speaker"": ""Morty""}]"
"Morty, hand me that screwdriver, huh?  I'm almost finished making my ionic defibulizer, Morty. It's gonna be great.","[{""text"": ""Listen, Morty, I hate to break it to you, but what people call \""love\"" is a chemical reaction that compels animals to breed. It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage. I did it, your parents are gonna do it. Break the cycle, Morty. Rise above. Focus on science."", ""speaker"": ""Rick""}, {""text"": ""Alright, well, I'm gonna go get dressed for the dance."", ""speaker"": ""Morty""}, {""text"": ""Yeah, I'm just going to...check on your mom."", ""speaker"": ""Jerry""}]"
"Morty, that's such a poor use of my time, it's beneath me. Hand me the screwdriver.","[{""text"": ""Yeah, I'm just going to...check on your mom."", ""speaker"": ""Jerry""}, {""text"": ""Morty, hand me that screwdriver, huh?  I'm almost finished making my ionic defibulizer, Morty. It's gonna be great."", ""speaker"": ""Rick""}, {""text"": ""Hey, listen, Rick. You know how you said that, you know... love is a chemical and all that stuff from earlier?  Well, I was thinkn', you know, www... could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing, you know, like maybe make some sort of love potion or something?"", ""speaker"": ""Morty""}]"
"You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is?","[{""text"": ""Hey, listen, Rick. You know how you said that, you know... love is a chemical and all that stuff from earlier?  Well, I was thinkn', you know, www... could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing, you know, like maybe make some sort of love potion or something?"", ""speaker"": ""Morty""}, {""text"": ""Morty, that's such a poor use of my time, it's beneath me. Hand me the screwdriver."", ""speaker"": ""Rick""}, {""text"": ""YOU KNOW WHAT, NO RICK! I'M NOT GONNA HAND YOU THE SCREWDRIVER! Uh, I'm never gonna hand you anything ever again, Rick.  I'm always helping you with this and that and the other thing. Www...what about me, Rick? Www... why can't you just help me out once, once, for once?"", ""speaker"": ""Morty""}]"
"It's a, it's a rodent that mates for life, Morty. This is the chemical release in the mammal's brain,  ...that makes it fall in love. Alright Morty, I just gotta  combine it with some of your DNA.","[{""text"": ""Morty, that's such a poor use of my time, it's beneath me. Hand me the screwdriver."", ""speaker"": ""Rick""}, {""text"": ""YOU KNOW WHAT, NO RICK! I'M NOT GONNA HAND YOU THE SCREWDRIVER! Uh, I'm never gonna hand you anything ever again, Rick.  I'm always helping you with this and that and the other thing. Www...what about me, Rick? Www... why can't you just help me out once, once, for once?"", ""speaker"": ""Morty""}, {""text"": ""You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is?"", ""speaker"": ""Rick""}]"
"A hair, Morty, I need one of your hairs! This isn't Game Of Thrones.","[{""text"": ""You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is?"", ""speaker"": ""Rick""}, {""text"": ""It's a, it's a rodent that mates for life, Morty. This is the chemical release in the mammal's brain,  ...that makes it fall in love. Alright Morty, I just gotta  combine it with some of your DNA."", ""speaker"": ""Rick""}, {""text"": ""Oh well, okay..."", ""speaker"": ""Morty""}]"
"Alright, Morty, whoever you smear this stuff on will fall in love with you, and only you, forever. Ya happy now, Morty?","[{""text"": ""Oh well, okay..."", ""speaker"": ""Morty""}, {""text"": ""A hair, Morty, I need one of your hairs! This isn't Game Of Thrones."", ""speaker"": ""Rick""}, {""text"": ""Oww!"", ""speaker"": ""Morty""}]"
"Www.. what am I, a hack?! Go nuts, Morty, it's full proof.","[{""text"": ""Oww!"", ""speaker"": ""Morty""}, {""text"": ""Alright, Morty, whoever you smear this stuff on will fall in love with you, and only you, forever. Ya happy now, Morty?"", ""speaker"": ""Rick""}, {""text"": ""Heck yeah! Thank you, Grandpa Rick!  Hey there's no dangers or anything or side effects, right?"", ""speaker"": ""Morty""}]"
"Ugh, unless she has the flu.","[{""text"": ""Alright, Morty, whoever you smear this stuff on will fall in love with you, and only you, forever. Ya happy now, Morty?"", ""speaker"": ""Rick""}, {""text"": ""Heck yeah! Thank you, Grandpa Rick!  Hey there's no dangers or anything or side effects, right?"", ""speaker"": ""Morty""}, {""text"": ""Www.. what am I, a hack?! Go nuts, Morty, it's full proof."", ""speaker"": ""Rick""}]"
Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.,"[{""text"": ""You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?"", ""speaker"": ""Summer""}, {""text"": ""What? What kind of monster are you?"", ""speaker"": ""Morty""}, {""text"": ""A competent one."", ""speaker"": ""Summer""}]"
"Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize.","[{""text"": ""What? What kind of monster are you?"", ""speaker"": ""Morty""}, {""text"": ""A competent one."", ""speaker"": ""Summer""}, {""text"": ""Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing."", ""speaker"": ""Rick""}]"
"It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards.","[{""text"": ""Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing."", ""speaker"": ""Rick""}, {""text"": ""Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize."", ""speaker"": ""Rick""}, {""text"": ""Our time is gonna be unstable? What does that even mean?"", ""speaker"": ""Morty""}]"
And away we go!,"[{""text"": ""Our time is gonna be unstable? What does that even mean?"", ""speaker"": ""Morty""}, {""text"": ""It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards."", ""speaker"": ""Rick""}, {""text"": ""Wait a minute, what?"", ""speaker"": ""Morty""}]"
"Shhh, Morty!","[{""text"": ""Wait a minute, what?"", ""speaker"": ""Morty""}, {""text"": ""And away we go!"", ""speaker"": ""Rick""}, {""text"": ""Uh, did we ever put that mattress under Mr. Benson?"", ""speaker"": ""Morty""}]"
"Negative visualization, Jerry. It explains a lot about where you're at. Hi, sweety.","[{""text"": ""Uh, did we ever put that mattress under Mr. Benson?"", ""speaker"": ""Morty""}, {""text"": ""Shhh, Morty!"", ""speaker"": ""Rick""}, {""text"": ""...A THING OR TWO ABOUT... wait, what? Was the house...? When we pulled up I could have sworn the house was completely trashed."", ""speaker"": ""Jerry""}]"
"Yeah it would literally destroy them. Now listen, why do—why do—why—why don't you guys go get a free sunday ice cream,  go out there and get some ice creams. Here's five hundred dollars cash in unmarked moneys. I'm just gonna put it on the floor and uh, kick it on over to ya. You guys go nuts.","[{""text"": ""Summer, Morty, are you okay?"", ""speaker"": ""Beth""}, {""text"": ""W-We just missed you a lot."", ""speaker"": ""Morty""}, {""text"": ""Yeah, we missed you so much. Too much to hug you though."", ""speaker"": ""Summer""}]"
Uh oh.,"[{""text"": ""This better not be a bribe. If I find a single thing out of place in this house, my love of ice cream won't save you. I'll get my jacket."", ""speaker"": ""Jerry""}, {""text"": ""Sweety, is your shirt on backwards?"", ""speaker"": ""Beth""}, {""text"": ""Oh!"", ""speaker"": ""Morty""}]"
"Man that guy is the Red Grin Grumble to pretending he knows what's going on.  Oh you agree, huh?  You like that Red Grin Grumble reference?  Well guess what? I made him up. You really are your father's children. Think for yourselves, don't be sheep.","[{""text"": ""Uh oh."", ""speaker"": ""Rick""}, {""text"": ""Yeah, I like it this way. I'm not stupid."", ""speaker"": ""Jerry""}, {""text"": ""Phew..."", ""speaker"": ""Morty""}]"
"Yup, it really makes you appreciate how fickle the universe can be.   One minute you're falling off a roof for six months, the next minute, bam!","[{""text"": ""Phew..."", ""speaker"": ""Morty""}, {""text"": ""Man that guy is the Red Grin Grumble to pretending he knows what's going on.  Oh you agree, huh?  You like that Red Grin Grumble reference?  Well guess what? I made him up. You really are your father's children. Think for yourselves, don't be sheep."", ""speaker"": ""Rick""}, {""text"": ""God, I feel terrible."", ""speaker"": ""Summer""}]"
"Actually, sorry Summer, I gotta back the M bomb on this one. I remember the conversation. We told Morty to replace all the bank's money with cookies, your job was to put the mattress under Mr. Benson.","[{""text"": ""Uh, what? It was your job, Morty."", ""speaker"": ""Summer""}, {""text"": ""Nuh uh!"", ""speaker"": ""Morty""}, {""text"": ""Yeah huh!"", ""speaker"": ""Summer""}]"
Whoa whoa wh-what the hell hell hell hell hell?,"[{""text"": ""You didn't what?"", ""speaker"": ""Morty""}, {""text"": ""What's yours?"", ""speaker"": ""Morty""}, {""text"": ""You shut up!"", ""speaker"": ""Morty""}]"
"Oh God, oh no, what did you guys just do?","[{""text"": ""What's yours?"", ""speaker"": ""Morty""}, {""text"": ""You shut up!"", ""speaker"": ""Morty""}, {""text"": ""Whoa whoa wh-what the hell hell hell hell hell?"", ""speaker"": ""Rick""}]"
Were either of you guys uncertain about anything just now?,"[{""text"": ""Oh God, oh no, what did you guys just do?"", ""speaker"": ""All Ricks""}, {""text"": ""What do you mean?"", ""speaker"": ""Summer 1""}, {""text"": ""Wait, what am I saying?"", ""speaker"": ""All Summers""}]"
"Alright both of you, just don't move, don't speak, don't think. I have to check something.","[{""text"": ""Am I me? I think so."", ""speaker"": ""Morty 1""}, {""text"": ""A-am I talking right now?"", ""speaker"": ""Morty 2""}, {""text"": ""Wait, who said that?"", ""speaker"": ""All Mortys""}]"
Shut up!  Oh crap are you kidding me? Two dots? This never needs to be more than one dot. The two of you made us uncertain!,"[{""text"": ""What do you mean you're gonna help him."", ""speaker"": ""Morty 2""}, {""text"": ""Ugh, I can help too."", ""speaker"": ""Summer 1""}, {""text"": ""What's happening Grampa?"", ""speaker"": ""All Summers""}]"
Our time is fractured. You two somehow created a feedback loop of uncertainty that's split our reality into two equally possible impossiblities. W-we're exactly like a man capable of sustaining a platonic friendship with an attractive female co-worker. We're entirely hypothetical.,"[{""text"": ""What do you mean?"", ""speaker"": ""Morty 1""}, {""text"": ""What? In English?"", ""speaker"": ""Morty 2""}, {""text"": ""What? English please?"", ""speaker"": ""Summer 1""}]"
"We're not on any timeline, dummy. Look.","[{""text"": ""What? English please?"", ""speaker"": ""Summer 1""}, {""text"": ""Our time is fractured. You two somehow created a feedback loop of uncertainty that's split our reality into two equally possible impossiblities. W-we're exactly like a man capable of sustaining a platonic friendship with an attractive female co-worker. We're entirely hypothetical."", ""speaker"": ""All Ricks""}, {""text"": ""But I thought there were infinite timelines."", ""speaker"": ""All Mortys""}]"
"I assume they're Schrodinger's cats. A-actually, I assume they both are and aren't, just like us.","[{""text"": ""We're not on any timeline, dummy. Look."", ""speaker"": ""All Ricks""}, {""text"": ""Oh, my God!"", ""speaker"": ""All Mortys""}, {""text"": ""Are those cats?"", ""speaker"": ""All Summers""}]"
“Mom and Dad?” Get your head out of your family's ass. The three of us are lost in a timeless oblivion. Your parents get to exist. They're probably living it up in some pointless grounded story about their shitty marriage.,"[{""text"": ""Oh, my God!"", ""speaker"": ""All Mortys""}, {""text"": ""Are those cats?"", ""speaker"": ""All Summers""}, {""text"": ""I assume they're Schrodinger's cats. A-actually, I assume they both are and aren't, just like us."", ""speaker"": ""All Ricks""}]"
"This is why you don't freeze time, you guys. It's incredibly irresponsible.Morty 1","[{""text"": ""Oh God..."", ""speaker"": ""Jerry""}, {""text"": ""Get the deer in the car, Jerry."", ""speaker"": ""Beth""}, {""text"": ""Yes Beth."", ""speaker"": ""Jerry""}]"
"Look, there's no time to hold me accountable, Morty. Like literally no time. Look around. Uncertainty is inherently unsustainable. Eventually everything either is or isn't. And we've got about four hours to be “is”.","[{""text"": ""Yes Beth."", ""speaker"": ""Jerry""}, {""text"": ""This is why you don't freeze time, you guys. It's incredibly irresponsible.Morty 1"", ""speaker"": ""All Ricks""}, {""text"": ""And you did it so you could clean the house after a party?"", ""speaker"": ""Morty 2""}]"
We “isn't”,"[{""text"": ""Look, there's no time to hold me accountable, Morty. Like literally no time. Look around. Uncertainty is inherently unsustainable. Eventually everything either is or isn't. And we've got about four hours to be \u201cis\u201d."", ""speaker"": ""All Ricks""}, {""text"": ""Or..."", ""speaker"": ""Morty 1""}, {""text"": ""Or?"", ""speaker"": ""Morty 2""}]"
"Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time.","[{""text"": ""Or..."", ""speaker"": ""Morty 1""}, {""text"": ""Or?"", ""speaker"": ""Morty 2""}, {""text"": ""We \u201cisn't\u201d"", ""speaker"": ""All Ricks""}]"
"Whatever you're asking, the answer is I'm amazing. And away we go!","[{""text"": ""Or?"", ""speaker"": ""Morty 2""}, {""text"": ""We \u201cisn't\u201d"", ""speaker"": ""All Ricks""}, {""text"": ""Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time."", ""speaker"": ""All Ricks""}]"
"Huh, what do you know, it's working","[{""text"": ""We \u201cisn't\u201d"", ""speaker"": ""All Ricks""}, {""text"": ""Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time."", ""speaker"": ""All Ricks""}, {""text"": ""Whatever you're asking, the answer is I'm amazing. And away we go!"", ""speaker"": ""All Ricks""}]"
Oh shit.,"[{""text"": ""Huh, what do you know, it's working"", ""speaker"": ""Rick""}, {""text"": ""Ow, ow ouch!"", ""speaker"": ""Summer 1""}, {""text"": ""Whoa, ow, ow."", ""speaker"": ""Morty 2""}]"
What the hell is wrong with you two!? I—I m—I m—I mean you four!?,"[{""text"": ""Ow, ow ouch!"", ""speaker"": ""Summer 1""}, {""text"": ""Whoa, ow, ow."", ""speaker"": ""Morty 2""}, {""text"": ""Oh shit."", ""speaker"": ""Rick""}]"
"Good I'm glad it was painful. You do deserve it! I saw you, you're both  all over the damn place. We've been split for twenty minutes and your lives are already scattered to the quantum fucking wind? What the hell do either of you have to be so uncertain about? Your brand of zit cream? Which chair to sit in while I do everything? Come on, spit it out!","[{""text"": ""Whoa, ow, ow."", ""speaker"": ""Morty 2""}, {""text"": ""Oh shit."", ""speaker"": ""Rick""}, {""text"": ""What the hell is wrong with you two!? I\u2014I m\u2014I m\u2014I mean you four!?"", ""speaker"": ""All Ricks""}]"
"Alright, cool it, I see what's happening here. You're both young, you're both unsure about your place in the universe, you both wanna be “Grampa's favorite.” I can fix this. Morty sit here, Summer, you sit here. Now listen, I know the two of you are very different from each other in a lot of ways, but you have to understand that as far as Grampa's concerned, you're both pieces of shit. Yeah, I can prove it mathematically. Actually, let me grab my whiteboard. This has been a long time coming anyway.","[{""text"": ""You make fun of me all the time and now Summer's doing it too!"", ""speaker"": ""Morty 1""}, {""text"": ""You're always picking on me and now you got someone to kiss your ass!"", ""speaker"": ""Morty 2""}, {""text"": ""Me? What about you? Would you get more excited to see me fail? You want Grampa all to yourself!"", ""speaker"": ""Summer 1""}]"
"So in conclusion, you're both equally mercurial, overly sensitive, clingy hysterical bird brained homunculi. And I honestly can't tell the two of you half the time because I don't go by height or age, I go by amount of pain in my ass, which makes you both identical. Alright, everything resolved? Everybody nice and certain about their position in my world?","[{""text"": ""May I help you, sir?"", ""speaker"": ""Vet""}, {""text"": ""Look, I don't know what the law says about this, but I took an oath that I would let no animal come to harm. Except when sterilizing, aborting or euthenizing them and also when eating them at almost any meal."", ""speaker"": ""Vet""}, {""text"": ""In your dreams, bitch! Scalpel!"", ""speaker"": ""Beth""}]"
"Alright, perfect. Sit still,  arms down, I'm gonna do this again, this time, be like Grampa.","[{""text"": ""Look, I don't know what the law says about this, but I took an oath that I would let no animal come to harm. Except when sterilizing, aborting or euthenizing them and also when eating them at almost any meal."", ""speaker"": ""Vet""}, {""text"": ""In your dreams, bitch! Scalpel!"", ""speaker"": ""Beth""}, {""text"": ""So in conclusion, you're both equally mercurial, overly sensitive, clingy hysterical bird brained homunculi. And I honestly can't tell the two of you half the time because I don't go by height or age, I go by amount of pain in my ass, which makes you both identical. Alright, everything resolved? Everybody nice and certain about their position in my world?"", ""speaker"": ""All Ricks""}]"
"Huh, that's weird. Oh, my God.","[{""text"": ""Alright, perfect. Sit still,  arms down, I'm gonna do this again, this time, be like Grampa."", ""speaker"": ""All Ricks""}, {""text"": ""You mean drunk?"", ""speaker"": ""Morty 2""}, {""text"": ""No."", ""speaker"": ""Morty 2""}]"
That son of a bitch is gonna kill me!,"[{""text"": ""No."", ""speaker"": ""Morty 2""}, {""text"": ""Huh, that's weird. Oh, my God."", ""speaker"": ""All Ricks""}, {""text"": ""What?"", ""speaker"": ""All Summers""}]"
Saving our lives. After he takes me out he's gonna be coming for you!,"[{""text"": ""What?"", ""speaker"": ""All Summers""}, {""text"": ""That son of a bitch is gonna kill me!"", ""speaker"": ""All Ricks""}, {""text"": ""Rick what the hell are you doing?"", ""speaker"": ""All Mortys""}]"
Me!,"[{""text"": ""Rick what the hell are you doing?"", ""speaker"": ""All Mortys""}, {""text"": ""Saving our lives. After he takes me out he's gonna be coming for you!"", ""speaker"": ""All Ricks""}, {""text"": ""Who?"", ""speaker"": ""All Summers""}]"
"Oh God, now there's three of them, we're outnumbered! Get in the cupboards! Wait, don't don't do that, they'll know... wait wait, think about getting in the cupboards but don't really. AAAAH IS THIS WHAT YOU WANT YOU SICK FUCKS? YOU WANNA SEE CHILDREN DIE?","[{""text"": ""Me!"", ""speaker"": ""All Ricks""}, {""text"": ""Ahh!"", ""speaker"": ""All Summers""}, {""text"": ""Whoa whoa!"", ""speaker"": ""All Mortys""}]"
"Shh shh... I know where you are, you creepy old monster... I know how you think! Oh, is this where you think I'm going? You think I'm standing here? Well maybe you're right!","[{""text"": ""She normally works on horses."", ""speaker"": ""Jerry""}, {""text"": ""Jerry, if you're not gonna help, get the fuck out of here! I will reach into heaven and yank your screaming deer soul back!"", ""speaker"": ""Beth""}, {""text"": ""Jesus..."", ""speaker"": ""Vet""}]"
"Oh God, my head. What did you guys do?","[{""text"": ""Okay... so from now on, whatever we do we have to be certain."", ""speaker"": ""All Mortys""}, {""text"": ""Right..."", ""speaker"": ""All Summers""}, {""text"": ""I think I'm certain we're F'd in the A."", ""speaker"": ""All Mortys""}]"
"Only in self defense, myself tried to kill me first! Guys, I don't expect you to understand this, but time breaking twice means our problem is two times bigger and we've got half as much time to solve it. Well actually, I do expect you to understand that, it's basic math. C-could someone just let me out of here? If I die in a cage I lose a bet.","[{""text"": ""Oh God, my head. What did you guys do?"", ""speaker"": ""All Ricks""}, {""text"": ""We put you in a dog crate because you were acting crazy, and you caused another time fracture."", ""speaker"": ""All Mortys""}, {""text"": ""You tried to kill yourself!"", ""speaker"": ""All Summers""}]"
"Ah, for God's sake, alright here, give me the time crystal.","[{""text"": ""You tried to kill yourself!"", ""speaker"": ""All Summers""}, {""text"": ""Only in self defense, myself tried to kill me first! Guys, I don't expect you to understand this, but time breaking twice means our problem is two times bigger and we've got half as much time to solve it. Well actually, I do expect you to understand that, it's basic math. C-could someone just let me out of here? If I die in a cage I lose a bet."", ""speaker"": ""All Ricks""}, {""text"": ""Well is there some way you can prove you're not a threat to yourself and others anymore?"", ""speaker"": ""All Summers""}]"
"Calling myself. Here, listen,  it'll probably go to voice mail since, you know, I'm calling myself.","[{""text"": ""Well is there some way you can prove you're not a threat to yourself and others anymore?"", ""speaker"": ""All Summers""}, {""text"": ""Ah, for God's sake, alright here, give me the time crystal."", ""speaker"": ""All Ricks""}, {""text"": ""W-what're you doing?"", ""speaker"": ""All Mortys""}]"
"Don't fall for it, it's a bit.","[{""text"": ""Ah, for God's sake, alright here, give me the time crystal."", ""speaker"": ""All Ricks""}, {""text"": ""W-what're you doing?"", ""speaker"": ""All Mortys""}, {""text"": ""Calling myself. Here, listen,  it'll probably go to voice mail since, you know, I'm calling myself."", ""speaker"": ""All Ricks""}]"
